Name,Telegram
PER SECOND 300K,https://t.me/persecond300k
WildRecSys,https://t.me/wildrecsys
AI VK Hub,https://t.me/aihubvk
ML — это ОК,https://t.me/mlvok
Knowledge Accumulator,https://t.me/knowledge_accumulator
Wazowski Recommends,https://t.me/WazowskiRecommends
Information Retriever,https://t.me/inforetriever
Рекомендации recommender systems recsys,https://t.me/recommended_systems_recsys
Lamoda Tech,https://t.me/latech
SberMarket Tech,https://t.me/sbermarket_tech
Samokat.tech,https://t.me/samokat_tech
ML for Value / Ваня Максимов,https://t.me/ml4value
