Name,Telegram
PER SECOND 300K,https://t.me/persecond300k
WildRecSys,https://t.me/wildrecsys
AI VK Hub,https://t.me/aihubvk
Рекомендации recommender systems recsys,https://t.me/recommended_systems_recsys
Lamoda Tech,https://t.me/latech
ML — это ОК,https://t.me/mlvok
Samokat.tech,https://t.me/samokat_tech
Information Retriever,https://t.me/inforetriever
ML for Value / Ваня Максимов,https://t.me/ml4value
SberMarket Tech,https://t.me/sbermarket_tech
Knowledge Accumulator,https://t.me/knowledge_accumulator
Wazowski Recommends,https://t.me/WazowskiRecommends
